origin_city,destination_city,distance_km,vehicle_type,order_date,order_hour,weekday,weather,temperature,traffic_level,delivery_time_hours
tashkent,samarkand,292.9,motorcycle,2026-01-03,23,saturday,mist,7.0,low,4.58
tashkent,samarkand,292.9,motorcycle,2025-11-14,0,friday,mist,7.0,low,4.39
tashkent,samarkand,292.9,pickup,2025-11-28,8,friday,clouds,7.0,medium,5.86
tashkent,samarkand,292.9,van,2025-11-23,4,sunday,mist,7.0,low,4.16
tashkent,samarkand,292.9,motorcycle,2025-12-08,14,monday,clouds,7.0,low,5.12
tashkent,samarkand,292.9,motorcycle,2025-11-11,7,tuesday,clouds,4.7,medium,6.19
tashkent,samarkand,292.9,motorcycle,2025-11-26,17,wednesday,mist,4.7,medium,5.79
tashkent,samarkand,292.9,truck,2026-01-02,7,friday,mist,7.0,medium,6.12
tashkent,samarkand,292.9,van,2025-11-18,2,tuesday,clouds,7.0,low,4.63
tashkent,samarkand,292.9,van,2025-12-04,16,thursday,mist,4.7,low,4.17
tashkent,samarkand,292.9,van,2025-12-23,18,tuesday,mist,7.0,medium,5.41
tashkent,samarkand,292.9,car,2025-12-25,10,thursday,clouds,7.0,low,4.22
tashkent,samarkand,292.9,car,2025-12-05,17,friday,mist,7.0,medium,4.7
tashkent,samarkand,292.9,motorcycle,2025-12-13,23,saturday,clouds,4.7,low,4.97
tashkent,samarkand,292.9,van,2025-11-10,3,monday,clouds,4.7,low,4.82
tashkent,samarkand,292.9,pickup,2025-12-12,17,friday,mist,4.7,medium,4.87
tashkent,samarkand,292.9,truck,2025-12-14,22,sunday,clouds,4.7,low,5.24
tashkent,samarkand,292.9,motorcycle,2025-11-17,1,monday,clouds,4.7,low,5.04
tashkent,samarkand,292.9,motorcycle,2025-12-21,15,sunday,clouds,7.0,low,4.79
tashkent,samarkand,292.9,van,2025-12-01,2,monday,clouds,4.7,low,4.78
tashkent,samarkand,292.9,truck,2025-11-18,9,tuesday,mist,7.0,medium,6.31
tashkent,samarkand,292.9,truck,2025-12-20,13,saturday,clouds,4.7,low,5.17
tashkent,samarkand,292.9,van,2025-12-17,17,wednesday,clouds,7.0,medium,6.08
tashkent,samarkand,292.9,motorcycle,2025-12-20,9,saturday,clouds,4.7,medium,6.74
tashkent,samarkand,292.9,truck,2025-12-20,23,saturday,clouds,4.7,low,5.25
tashkent,samarkand,292.9,van,2025-12-25,5,thursday,mist,4.7,low,4.27
tashkent,samarkand,292.9,car,2025-12-25,1,thursday,mist,7.0,low,3.54
tashkent,samarkand,292.9,truck,2025-11-15,1,saturday,clouds,4.7,low,5.56
tashkent,samarkand,292.9,car,2025-11-14,17,friday,clouds,7.0,medium,5.34
tashkent,samarkand,292.9,truck,2025-11-17,9,monday,clouds,7.0,medium,6.78
tashkent,samarkand,292.9,truck,2025-11-27,12,thursday,mist,4.7,low,5.08
tashkent,samarkand,292.9,truck,2025-11-11,3,tuesday,mist,7.0,low,4.78
tashkent,samarkand,292.9,car,2025-12-27,6,saturday,clouds,7.0,low,3.99
tashkent,samarkand,292.9,pickup,2025-11-12,21,wednesday,mist,7.0,low,3.94
tashkent,samarkand,292.9,pickup,2025-12-10,5,wednesday,mist,7.0,low,3.95
tashkent,samarkand,292.9,pickup,2025-11-10,11,monday,mist,4.7,low,4.06
tashkent,samarkand,292.9,pickup,2025-11-26,21,wednesday,clouds,4.7,low,4.21
tashkent,samarkand,292.9,van,2025-12-14,9,sunday,clouds,7.0,medium,6.27
tashkent,samarkand,292.9,car,2025-11-24,20,monday,mist,7.0,low,3.81
tashkent,samarkand,292.9,van,2025-11-21,15,friday,clouds,7.0,low,4.59
tashkent,samarkand,292.9,car,2025-11-10,18,monday,clouds,7.0,medium,5.29
tashkent,samarkand,292.9,van,2025-11-27,17,thursday,clouds,4.7,medium,6.01
tashkent,samarkand,292.9,motorcycle,2025-11-14,6,friday,mist,4.7,low,4.32
tashkent,samarkand,292.9,truck,2025-12-17,11,wednesday,mist,4.7,low,5.0
tashkent,samarkand,292.9,pickup,2025-12-11,13,thursday,clouds,7.0,low,4.43
tashkent,samarkand,292.9,van,2025-11-13,11,thursday,mist,7.0,low,4.23
tashkent,samarkand,292.9,motorcycle,2025-12-20,2,saturday,clouds,7.0,low,4.71
tashkent,samarkand,292.9,pickup,2025-12-12,19,friday,mist,4.7,medium,5.02
tashkent,samarkand,292.9,car,2025-12-05,3,friday,clouds,4.7,low,4.02
tashkent,samarkand,292.9,car,2025-12-25,21,thursday,mist,4.7,low,3.73
tashkent,samarkand,292.9,truck,2025-11-29,13,saturday,mist,4.7,low,5.04
tashkent,samarkand,292.9,truck,2025-12-18,9,thursday,clouds,7.0,medium,7.19
tashkent,samarkand,292.9,van,2025-12-12,10,friday,clouds,4.7,low,4.46
tashkent,samarkand,292.9,pickup,2025-12-14,6,sunday,clouds,4.7,low,4.31
tashkent,samarkand,292.9,van,2025-12-05,23,friday,clouds,4.7,low,4.38
tashkent,samarkand,292.9,motorcycle,2025-11-20,7,thursday,mist,4.7,medium,5.77
tashkent,samarkand,292.9,van,2025-11-23,15,sunday,mist,7.0,low,4.05
tashkent,samarkand,292.9,van,2025-12-03,23,wednesday,clouds,7.0,low,4.54
tashkent,samarkand,292.9,car,2025-12-31,3,wednesday,clouds,4.7,low,4.19
tashkent,samarkand,292.9,truck,2025-12-11,7,thursday,clouds,7.0,medium,7.16
tashkent,samarkand,292.9,pickup,2025-12-23,22,tuesday,mist,7.0,low,3.92
tashkent,samarkand,292.9,truck,2025-11-25,5,tuesday,clouds,4.7,low,5.51
tashkent,samarkand,292.9,van,2025-11-12,18,wednesday,clouds,4.7,medium,6.21
tashkent,samarkand,292.9,car,2025-11-29,23,saturday,clouds,4.7,low,4.19
tashkent,samarkand,292.9,van,2025-12-15,3,monday,mist,7.0,low,4.3
tashkent,samarkand,292.9,motorcycle,2025-12-02,4,tuesday,mist,4.7,low,4.38
tashkent,samarkand,292.9,truck,2025-12-22,2,monday,mist,7.0,low,4.7
tashkent,samarkand,292.9,truck,2025-12-20,2,saturday,mist,7.0,low,5.05
tashkent,samarkand,292.9,pickup,2025-12-18,21,thursday,clouds,4.7,low,4.25
tashkent,samarkand,292.9,truck,2025-12-12,11,friday,clouds,4.7,low,5.59
tashkent,samarkand,292.9,car,2025-12-10,7,wednesday,mist,4.7,medium,4.89
tashkent,samarkand,292.9,van,2025-12-25,13,thursday,mist,7.0,low,4.2
tashkent,samarkand,292.9,car,2025-12-24,0,wednesday,mist,7.0,low,3.62
tashkent,samarkand,292.9,van,2025-12-08,22,monday,mist,7.0,low,4.05
tashkent,samarkand,292.9,car,2025-12-24,19,wednesday,mist,7.0,medium,4.56
tashkent,samarkand,292.9,van,2025-12-08,7,monday,mist,7.0,medium,5.5
tashkent,samarkand,292.9,van,2025-11-07,11,friday,clouds,4.7,low,4.62
tashkent,samarkand,292.9,truck,2026-01-03,21,saturday,mist,7.0,low,5.02
tashkent,samarkand,292.9,truck,2025-12-23,19,tuesday,mist,7.0,medium,6.23
tashkent,samarkand,292.9,car,2025-11-18,1,tuesday,mist,7.0,low,3.56
tashkent,samarkand,292.9,car,2025-11-14,3,friday,clouds,4.7,low,4.16
tashkent,samarkand,292.9,truck,2025-12-11,17,thursday,mist,7.0,medium,6.39
tashkent,samarkand,292.9,pickup,2025-12-12,4,friday,clouds,7.0,low,4.09
tashkent,samarkand,292.9,car,2026-01-03,9,saturday,mist,4.7,medium,4.57
tashkent,samarkand,292.9,van,2025-11-14,22,friday,mist,4.7,low,4.0
tashkent,samarkand,292.9,van,2025-11-21,16,friday,mist,4.7,low,4.22
tashkent,samarkand,292.9,car,2025-12-17,13,wednesday,clouds,4.7,low,3.97
tashkent,samarkand,292.9,van,2025-11-16,3,sunday,clouds,7.0,low,4.67
tashkent,samarkand,292.9,truck,2025-11-27,14,thursday,mist,4.7,low,5.12
tashkent,samarkand,292.9,car,2025-12-05,23,friday,mist,7.0,low,3.67
tashkent,samarkand,292.9,car,2025-11-18,17,tuesday,clouds,4.7,medium,5.46
tashkent,samarkand,292.9,truck,2025-12-13,13,saturday,clouds,7.0,low,5.54
tashkent,samarkand,292.9,pickup,2025-12-03,16,wednesday,mist,7.0,low,4.06
tashkent,samarkand,292.9,van,2025-11-11,0,tuesday,clouds,4.7,low,4.82
tashkent,samarkand,292.9,van,2025-12-20,19,saturday,clouds,7.0,medium,5.75
tashkent,samarkand,292.9,motorcycle,2025-12-13,8,saturday,mist,4.7,medium,5.67
tashkent,samarkand,292.9,van,2025-11-10,16,monday,clouds,7.0,low,4.49
tashkent,samarkand,292.9,truck,2025-11-24,3,monday,mist,7.0,low,5.08
tashkent,samarkand,292.9,motorcycle,2025-11-20,0,thursday,mist,7.0,low,4.63
tashkent,samarkand,292.9,motorcycle,2025-11-23,16,sunday,mist,7.0,low,4.3
tashkent,samarkand,292.9,motorcycle,2025-11-15,8,saturday,mist,7.0,medium,5.83
tashkent,samarkand,292.9,truck,2025-12-22,23,monday,mist,4.7,low,4.8
tashkent,samarkand,292.9,motorcycle,2025-12-02,6,tuesday,clouds,7.0,low,4.8
tashkent,samarkand,292.9,motorcycle,2025-11-21,20,friday,clouds,4.7,low,4.72
tashkent,samarkand,292.9,truck,2025-11-25,9,tuesday,mist,7.0,medium,6.18
tashkent,samarkand,292.9,car,2025-12-31,20,wednesday,mist,7.0,low,3.67
tashkent,samarkand,292.9,pickup,2025-12-03,19,wednesday,mist,7.0,medium,4.84
tashkent,samarkand,292.9,van,2025-12-06,17,saturday,clouds,7.0,medium,6.05
tashkent,samarkand,292.9,van,2025-12-21,11,sunday,mist,4.7,low,4.32
tashkent,samarkand,292.9,motorcycle,2025-12-03,10,wednesday,mist,4.7,low,4.55
tashkent,samarkand,292.9,truck,2025-12-14,11,sunday,clouds,7.0,low,5.11
tashkent,samarkand,292.9,car,2025-11-22,9,saturday,clouds,4.7,medium,5.15
tashkent,samarkand,292.9,motorcycle,2025-12-16,17,tuesday,mist,4.7,medium,5.75
tashkent,samarkand,292.9,car,2026-01-03,11,saturday,clouds,7.0,low,3.92
tashkent,samarkand,292.9,pickup,2025-11-30,11,sunday,mist,4.7,low,4.0
tashkent,samarkand,292.9,truck,2025-11-19,19,wednesday,clouds,4.7,medium,7.18
tashkent,samarkand,292.9,van,2025-12-23,16,tuesday,mist,7.0,low,4.02
tashkent,samarkand,292.9,pickup,2025-11-19,6,wednesday,clouds,7.0,low,4.15
tashkent,samarkand,292.9,motorcycle,2025-12-25,20,thursday,mist,4.7,low,4.4
tashkent,samarkand,292.9,van,2025-11-16,19,sunday,mist,7.0,medium,5.56
tashkent,samarkand,292.9,car,2025-11-24,21,monday,clouds,7.0,low,3.88
tashkent,samarkand,292.9,van,2025-12-18,6,thursday,clouds,7.0,low,4.67
tashkent,samarkand,292.9,van,2025-12-16,2,tuesday,mist,4.7,low,4.35
tashkent,samarkand,292.9,van,2025-11-22,11,saturday,clouds,4.7,low,4.59
tashkent,samarkand,292.9,pickup,2025-11-28,19,friday,clouds,7.0,medium,5.79
tashkent,samarkand,292.9,van,2025-11-07,16,friday,mist,4.7,low,4.06
tashkent,samarkand,292.9,motorcycle,2025-11-27,9,thursday,mist,7.0,medium,5.83
tashkent,samarkand,292.9,van,2025-12-26,21,friday,clouds,4.7,low,4.63
tashkent,samarkand,292.9,motorcycle,2025-12-13,4,saturday,mist,7.0,low,4.42
tashkent,samarkand,292.9,motorcycle,2025-11-27,16,thursday,mist,4.7,low,4.56
tashkent,samarkand,292.9,van,2025-12-08,5,monday,mist,7.0,low,4.25
tashkent,samarkand,292.9,motorcycle,2025-11-06,4,thursday,mist,4.7,low,4.53
tashkent,samarkand,292.9,van,2025-12-28,0,sunday,clouds,4.7,low,4.48
tashkent,samarkand,292.9,car,2025-11-30,9,sunday,mist,4.7,medium,4.67
tashkent,samarkand,292.9,truck,2025-12-30,12,tuesday,clouds,7.0,low,5.12
tashkent,samarkand,292.9,car,2025-12-25,12,thursday,mist,7.0,low,3.66
tashkent,samarkand,292.9,pickup,2025-12-10,15,wednesday,clouds,7.0,low,4.36
tashkent,samarkand,292.9,truck,2025-12-29,22,monday,clouds,7.0,low,5.2
tashkent,samarkand,292.9,van,2025-11-19,7,wednesday,clouds,4.7,medium,5.76
tashkent,samarkand,292.9,pickup,2025-12-25,3,thursday,clouds,7.0,low,4.34
tashkent,samarkand,292.9,pickup,2025-12-05,10,friday,clouds,4.7,low,4.09
tashkent,samarkand,292.9,motorcycle,2025-12-14,19,sunday,clouds,7.0,medium,6.36
tashkent,samarkand,292.9,van,2025-11-08,21,saturday,mist,7.0,low,4.35
tashkent,samarkand,292.9,car,2025-12-13,10,saturday,mist,4.7,low,3.51
tashkent,samarkand,292.9,pickup,2025-12-08,9,monday,mist,4.7,medium,4.96
tashkent,samarkand,292.9,motorcycle,2025-11-22,20,saturday,clouds,4.7,low,4.71
tashkent,samarkand,292.9,motorcycle,2025-12-13,17,saturday,mist,4.7,medium,5.87
tashkent,samarkand,292.9,motorcycle,2025-12-27,21,saturday,mist,7.0,low,4.35
tashkent,samarkand,292.9,truck,2025-12-03,19,wednesday,clouds,7.0,medium,6.69
tashkent,samarkand,292.9,pickup,2025-11-27,17,thursday,mist,4.7,medium,5.29
tashkent,samarkand,292.9,motorcycle,2025-12-06,18,saturday,clouds,4.7,medium,6.18
tashkent,samarkand,292.9,truck,2025-12-26,7,friday,clouds,7.0,medium,6.64
tashkent,samarkand,292.9,pickup,2025-12-16,3,tuesday,mist,4.7,low,3.8
tashkent,samarkand,292.9,motorcycle,2025-12-15,21,monday,clouds,4.7,low,4.79
tashkent,samarkand,292.9,motorcycle,2025-11-18,17,tuesday,mist,7.0,medium,5.82
tashkent,samarkand,292.9,van,2025-12-26,0,friday,clouds,7.0,low,4.74
tashkent,samarkand,292.9,van,2025-12-11,19,thursday,mist,4.7,medium,5.5
tashkent,samarkand,292.9,truck,2025-11-24,21,monday,clouds,7.0,low,5.32
tashkent,samarkand,292.9,motorcycle,2025-11-14,21,friday,mist,4.7,low,4.34
tashkent,samarkand,292.9,motorcycle,2025-11-29,15,saturday,mist,4.7,low,4.28
tashkent,samarkand,292.9,pickup,2025-12-03,23,wednesday,mist,4.7,low,3.93
tashkent,samarkand,292.9,pickup,2025-12-24,18,wednesday,clouds,7.0,medium,5.54
tashkent,samarkand,292.9,truck,2025-11-25,21,tuesday,clouds,4.7,low,5.55
tashkent,samarkand,292.9,van,2025-12-26,22,friday,mist,7.0,low,4.16
tashkent,samarkand,292.9,motorcycle,2025-11-13,17,thursday,mist,7.0,medium,5.99
tashkent,samarkand,292.9,car,2025-11-10,18,monday,clouds,7.0,medium,5.32
tashkent,samarkand,292.9,van,2025-11-10,11,monday,mist,7.0,low,4.06
tashkent,samarkand,292.9,van,2025-11-06,1,thursday,mist,4.7,low,4.0
tashkent,samarkand,292.9,motorcycle,2025-12-28,18,sunday,mist,4.7,medium,5.63
tashkent,samarkand,292.9,van,2025-11-06,16,thursday,clouds,7.0,low,4.6
tashkent,samarkand,292.9,pickup,2025-12-05,16,friday,clouds,4.7,low,4.11
tashkent,samarkand,292.9,car,2025-11-12,1,wednesday,mist,7.0,low,3.54
tashkent,samarkand,292.9,truck,2025-12-02,3,tuesday,mist,4.7,low,4.94
tashkent,samarkand,292.9,car,2025-12-29,9,monday,mist,4.7,medium,4.54
tashkent,samarkand,292.9,pickup,2025-12-26,7,friday,mist,4.7,medium,5.1
tashkent,samarkand,292.9,car,2025-11-27,14,thursday,mist,4.7,low,3.77
tashkent,samarkand,292.9,truck,2025-12-08,9,monday,clouds,4.7,medium,7.02
tashkent,samarkand,292.9,motorcycle,2025-12-30,19,tuesday,mist,7.0,medium,5.91
tashkent,samarkand,292.9,truck,2025-11-07,8,friday,clouds,4.7,medium,7.0
tashkent,samarkand,292.9,pickup,2025-11-19,21,wednesday,mist,7.0,low,4.09
tashkent,samarkand,292.9,car,2025-11-06,4,thursday,clouds,4.7,low,3.94
tashkent,samarkand,292.9,motorcycle,2026-01-05,0,monday,mist,4.7,low,4.47
tashkent,samarkand,292.9,pickup,2025-11-17,5,monday,clouds,4.7,low,4.16
tashkent,samarkand,292.9,truck,2025-12-17,15,wednesday,mist,7.0,low,4.7
tashkent,samarkand,292.9,car,2025-11-06,2,thursday,clouds,4.7,low,4.22
tashkent,samarkand,292.9,van,2025-12-26,10,friday,clouds,4.7,low,4.58
tashkent,samarkand,292.9,truck,2025-12-10,12,wednesday,mist,4.7,low,4.82
tashkent,samarkand,292.9,van,2025-12-05,4,friday,mist,4.7,low,4.0
tashkent,samarkand,292.9,pickup,2025-11-21,1,friday,mist,7.0,low,3.92
tashkent,samarkand,292.9,van,2025-12-04,11,thursday,mist,7.0,low,4.01
tashkent,samarkand,292.9,motorcycle,2025-11-18,16,tuesday,clouds,4.7,low,5.03
tashkent,samarkand,292.9,pickup,2025-11-25,16,tuesday,clouds,4.7,low,4.22
tashkent,samarkand,292.9,motorcycle,2026-01-04,18,sunday,mist,4.7,medium,6.03
tashkent,samarkand,292.9,van,2025-12-08,6,monday,clouds,4.7,low,4.7
tashkent,samarkand,292.9,pickup,2025-12-05,7,friday,clouds,4.7,medium,5.69
tashkent,samarkand,292.9,van,2025-12-04,21,thursday,mist,4.7,low,4.32
tashkent,samarkand,292.9,pickup,2025-12-02,22,tuesday,clouds,4.7,low,4.37
tashkent,samarkand,292.9,pickup,2025-11-12,19,wednesday,clouds,7.0,medium,5.58
tashkent,samarkand,292.9,car,2025-12-06,18,saturday,clouds,7.0,medium,5.48
tashkent,samarkand,292.9,motorcycle,2025-11-25,19,tuesday,clouds,7.0,medium,6.19
tashkent,samarkand,292.9,pickup,2025-11-12,22,wednesday,clouds,7.0,low,4.12
tashkent,samarkand,292.9,van,2025-12-20,14,saturday,mist,7.0,low,4.11
tashkent,samarkand,292.9,motorcycle,2025-11-19,0,wednesday,mist,4.7,low,4.65
tashkent,samarkand,292.9,van,2026-01-01,22,thursday,clouds,4.7,low,4.77
tashkent,samarkand,292.9,van,2025-12-14,19,sunday,clouds,4.7,medium,5.9
tashkent,samarkand,292.9,pickup,2026-01-03,16,saturday,mist,4.7,low,3.87
tashkent,samarkand,292.9,pickup,2025-12-23,19,tuesday,clouds,4.7,medium,5.77
tashkent,samarkand,292.9,van,2025-11-09,6,sunday,clouds,4.7,low,4.45
tashkent,samarkand,292.9,motorcycle,2026-01-03,7,saturday,clouds,4.7,medium,6.44
tashkent,samarkand,292.9,car,2025-11-06,15,thursday,clouds,4.7,low,4.12
tashkent,samarkand,292.9,van,2025-12-06,17,saturday,clouds,7.0,medium,5.73
tashkent,samarkand,292.9,car,2025-11-14,10,friday,mist,4.7,low,3.55
tashkent,samarkand,292.9,motorcycle,2025-11-25,5,tuesday,clouds,7.0,low,4.82
tashkent,samarkand,292.9,van,2025-12-19,1,friday,mist,7.0,low,4.39
tashkent,samarkand,292.9,motorcycle,2025-11-13,11,thursday,clouds,7.0,low,5.08
tashkent,samarkand,292.9,truck,2025-11-16,12,sunday,mist,7.0,low,4.74
tashkent,samarkand,292.9,pickup,2025-12-13,1,saturday,clouds,4.7,low,4.49
tashkent,samarkand,292.9,pickup,2025-12-13,9,saturday,clouds,7.0,medium,5.72
tashkent,samarkand,292.9,motorcycle,2025-11-17,9,monday,clouds,7.0,medium,6.54
tashkent,samarkand,292.9,pickup,2026-01-05,5,monday,mist,7.0,low,4.03
tashkent,samarkand,292.9,truck,2025-12-17,5,wednesday,clouds,7.0,low,5.62
tashkent,samarkand,292.9,pickup,2025-12-27,20,saturday,clouds,4.7,low,4.19
tashkent,samarkand,292.9,van,2026-01-02,6,friday,mist,4.7,low,4.3
tashkent,samarkand,292.9,car,2025-12-30,2,tuesday,mist,4.7,low,3.79
tashkent,samarkand,292.9,motorcycle,2025-11-10,10,monday,mist,7.0,low,4.37
tashkent,samarkand,292.9,pickup,2025-12-01,23,monday,clouds,7.0,low,4.2
tashkent,samarkand,292.9,motorcycle,2025-11-13,23,thursday,clouds,7.0,low,4.89
tashkent,samarkand,292.9,van,2025-12-18,1,thursday,mist,7.0,low,4.0
tashkent,samarkand,292.9,motorcycle,2025-12-28,16,sunday,mist,4.7,low,4.6
tashkent,samarkand,292.9,van,2026-01-03,11,saturday,clouds,4.7,low,4.61
tashkent,samarkand,292.9,van,2026-01-03,17,saturday,clouds,7.0,medium,6.15
tashkent,samarkand,292.9,car,2025-11-14,21,friday,clouds,4.7,low,4.11
tashkent,samarkand,292.9,motorcycle,2025-12-29,10,monday,clouds,4.7,low,5.0
tashkent,samarkand,292.9,truck,2025-11-08,11,saturday,mist,7.0,low,4.75
tashkent,samarkand,292.9,truck,2025-11-19,12,wednesday,mist,4.7,low,4.95
tashkent,samarkand,292.9,van,2025-11-25,1,tuesday,clouds,4.7,low,4.44
tashkent,samarkand,292.9,van,2025-12-08,3,monday,clouds,4.7,low,4.51
tashkent,samarkand,292.9,truck,2025-12-10,18,wednesday,clouds,4.7,medium,6.72
tashkent,samarkand,292.9,truck,2025-11-11,12,tuesday,clouds,7.0,low,5.5
tashkent,samarkand,292.9,motorcycle,2025-11-23,1,sunday,clouds,7.0,low,5.03
tashkent,samarkand,292.9,car,2025-12-18,23,thursday,mist,4.7,low,3.61
tashkent,samarkand,292.9,van,2025-11-28,11,friday,mist,4.7,low,4.15
tashkent,samarkand,292.9,truck,2025-11-10,3,monday,clouds,4.7,low,5.37
tashkent,samarkand,292.9,car,2025-12-23,22,tuesday,mist,7.0,low,3.78
tashkent,samarkand,292.9,van,2025-12-07,7,sunday,clouds,4.7,medium,6.02
tashkent,samarkand,292.9,motorcycle,2025-11-14,3,friday,clouds,7.0,low,4.94
tashkent,samarkand,292.9,truck,2026-01-03,19,saturday,mist,4.7,medium,6.4
tashkent,samarkand,292.9,car,2026-01-02,0,friday,mist,7.0,low,3.58
tashkent,samarkand,292.9,van,2025-12-19,23,friday,clouds,7.0,low,4.39
tashkent,samarkand,292.9,van,2025-11-27,5,thursday,clouds,7.0,low,4.71
tashkent,samarkand,292.9,van,2025-12-30,21,tuesday,clouds,7.0,low,4.43
tashkent,samarkand,292.9,motorcycle,2025-12-21,2,sunday,clouds,4.7,low,5.03
