origin_city,destination_city,distance_km,vehicle_type,order_date,order_hour,weekday,weather,temperature,traffic_level,delivery_time_hours,day_of_month,week_of_year,month,is_weekend,is_peak_hour,is_night
tashkent,samarkand,292.9,car,2025-12-16,18,tuesday,clouds,4.7,medium,5.16,16,51,12,0,1,0
tashkent,samarkand,292.9,car,2025-12-21,18,sunday,mist,4.7,medium,4.54,21,51,12,1,1,0
tashkent,samarkand,292.9,car,2025-11-08,14,saturday,mist,4.7,low,3.57,8,45,11,1,0,0
tashkent,samarkand,292.9,motorcycle,2025-12-31,1,wednesday,clouds,4.7,low,5.05,31,1,12,0,0,1
tashkent,samarkand,292.9,van,2025-12-21,19,sunday,mist,4.7,medium,5.43,21,51,12,1,1,0
tashkent,samarkand,292.9,truck,2025-12-18,20,thursday,mist,4.7,low,4.71,18,51,12,0,0,0
tashkent,samarkand,292.9,car,2025-11-27,22,thursday,mist,4.7,low,3.82,27,48,11,0,0,1
tashkent,samarkand,292.9,van,2025-11-22,18,saturday,clouds,7.0,medium,5.95,22,47,11,1,1,0
tashkent,samarkand,292.9,van,2025-12-01,7,monday,mist,7.0,medium,5.43,1,49,12,0,0,0
tashkent,samarkand,292.9,car,2025-11-11,20,tuesday,mist,4.7,low,3.64,11,46,11,0,0,0
tashkent,samarkand,292.9,van,2026-01-01,22,thursday,mist,4.7,low,4.37,1,1,1,0,0,1
tashkent,samarkand,292.9,van,2025-11-08,13,saturday,mist,7.0,low,4.38,8,45,11,1,0,0
tashkent,samarkand,292.9,truck,2025-11-09,16,sunday,mist,4.7,low,5.02,9,45,11,1,0,0
tashkent,samarkand,292.9,motorcycle,2025-12-25,22,thursday,mist,7.0,low,4.28,25,52,12,0,0,1
tashkent,samarkand,292.9,truck,2025-11-24,10,monday,mist,4.7,low,5.07,24,48,11,0,1,0
tashkent,samarkand,292.9,pickup,2025-12-17,15,wednesday,clouds,4.7,low,4.18,17,51,12,0,0,0
tashkent,samarkand,292.9,van,2025-11-13,0,thursday,mist,4.7,low,4.04,13,46,11,0,0,1
tashkent,samarkand,292.9,pickup,2026-01-01,3,thursday,mist,4.7,low,3.92,1,1,1,0,0,1
tashkent,samarkand,292.9,car,2025-12-22,16,monday,mist,7.0,low,3.7,22,52,12,0,0,0
tashkent,samarkand,292.9,car,2026-01-04,19,sunday,mist,4.7,medium,4.62,4,1,1,1,1,0
tashkent,samarkand,292.9,motorcycle,2025-12-21,18,sunday,mist,4.7,medium,6.11,21,51,12,1,1,0
tashkent,samarkand,292.9,pickup,2026-01-01,0,thursday,clouds,7.0,low,4.27,1,1,1,0,0,1
tashkent,samarkand,292.9,pickup,2025-11-30,5,sunday,mist,7.0,low,3.9,30,48,11,1,0,1
tashkent,samarkand,292.9,car,2025-11-30,19,sunday,clouds,4.7,medium,5.06,30,48,11,1,1,0
tashkent,samarkand,292.9,pickup,2025-12-06,14,saturday,clouds,7.0,low,4.22,6,49,12,1,0,0
tashkent,samarkand,292.9,truck,2026-01-01,11,thursday,clouds,4.7,low,5.17,1,1,1,0,0,0
tashkent,samarkand,292.9,van,2025-11-27,15,thursday,mist,7.0,low,4.35,27,48,11,0,0,0
tashkent,samarkand,292.9,van,2026-01-02,22,friday,mist,7.0,low,4.04,2,1,1,0,0,1
tashkent,samarkand,292.9,truck,2025-11-07,17,friday,mist,4.7,medium,6.55,7,45,11,0,1,0
tashkent,samarkand,292.9,truck,2025-12-16,16,tuesday,clouds,7.0,low,5.63,16,51,12,0,0,0
tashkent,samarkand,292.9,truck,2025-12-06,0,saturday,mist,4.7,low,5.1,6,49,12,1,0,1
tashkent,samarkand,292.9,motorcycle,2025-11-09,4,sunday,clouds,4.7,low,4.78,9,45,11,1,0,1
tashkent,samarkand,292.9,car,2025-11-13,10,thursday,clouds,4.7,low,3.85,13,46,11,0,1,0
tashkent,samarkand,292.9,motorcycle,2025-11-18,23,tuesday,clouds,4.7,low,4.94,18,47,11,0,0,1
tashkent,samarkand,292.9,truck,2025-12-26,0,friday,mist,4.7,low,5.06,26,52,12,0,0,1
tashkent,samarkand,292.9,motorcycle,2026-01-03,23,saturday,mist,7.0,low,4.58,3,1,1,1,0,1
tashkent,samarkand,292.9,motorcycle,2025-11-14,0,friday,mist,7.0,low,4.39,14,46,11,0,0,1
tashkent,samarkand,292.9,pickup,2025-11-28,8,friday,clouds,7.0,medium,5.86,28,48,11,0,1,0
tashkent,samarkand,292.9,van,2025-11-23,4,sunday,mist,7.0,low,4.16,23,47,11,1,0,1
tashkent,samarkand,292.9,motorcycle,2025-12-08,14,monday,clouds,7.0,low,5.12,8,50,12,0,0,0
tashkent,samarkand,292.9,motorcycle,2025-11-11,7,tuesday,clouds,4.7,medium,6.19,11,46,11,0,0,0
tashkent,samarkand,292.9,motorcycle,2025-11-26,17,wednesday,mist,4.7,medium,5.79,26,48,11,0,1,0
tashkent,samarkand,292.9,truck,2026-01-02,7,friday,mist,7.0,medium,6.12,2,1,1,0,0,0
tashkent,samarkand,292.9,van,2025-11-18,2,tuesday,clouds,7.0,low,4.63,18,47,11,0,0,1
tashkent,samarkand,292.9,van,2025-12-04,16,thursday,mist,4.7,low,4.17,4,49,12,0,0,0
tashkent,samarkand,292.9,van,2025-12-23,18,tuesday,mist,7.0,medium,5.41,23,52,12,0,1,0
tashkent,samarkand,292.9,car,2025-12-25,10,thursday,clouds,7.0,low,4.22,25,52,12,0,1,0
tashkent,samarkand,292.9,car,2025-12-05,17,friday,mist,7.0,medium,4.7,5,49,12,0,1,0
tashkent,samarkand,292.9,motorcycle,2025-12-13,23,saturday,clouds,4.7,low,4.97,13,50,12,1,0,1
tashkent,samarkand,292.9,van,2025-11-10,3,monday,clouds,4.7,low,4.82,10,46,11,0,0,1
tashkent,samarkand,292.9,pickup,2025-12-12,17,friday,mist,4.7,medium,4.87,12,50,12,0,1,0
tashkent,samarkand,292.9,truck,2025-12-14,22,sunday,clouds,4.7,low,5.24,14,50,12,1,0,1
tashkent,samarkand,292.9,motorcycle,2025-11-17,1,monday,clouds,4.7,low,5.04,17,47,11,0,0,1
tashkent,samarkand,292.9,motorcycle,2025-12-21,15,sunday,clouds,7.0,low,4.79,21,51,12,1,0,0
tashkent,samarkand,292.9,van,2025-12-01,2,monday,clouds,4.7,low,4.78,1,49,12,0,0,1
tashkent,samarkand,292.9,truck,2025-11-18,9,tuesday,mist,7.0,medium,6.31,18,47,11,0,1,0
tashkent,samarkand,292.9,truck,2025-12-20,13,saturday,clouds,4.7,low,5.17,20,51,12,1,0,0
tashkent,samarkand,292.9,van,2025-12-17,17,wednesday,clouds,7.0,medium,6.08,17,51,12,0,1,0
tashkent,samarkand,292.9,motorcycle,2025-12-20,9,saturday,clouds,4.7,medium,6.74,20,51,12,1,1,0
tashkent,samarkand,292.9,truck,2025-12-20,23,saturday,clouds,4.7,low,5.25,20,51,12,1,0,1
tashkent,samarkand,292.9,van,2025-12-25,5,thursday,mist,4.7,low,4.27,25,52,12,0,0,1
tashkent,samarkand,292.9,car,2025-12-25,1,thursday,mist,7.0,low,3.54,25,52,12,0,0,1
tashkent,samarkand,292.9,truck,2025-11-15,1,saturday,clouds,4.7,low,5.56,15,46,11,1,0,1
tashkent,samarkand,292.9,car,2025-11-14,17,friday,clouds,7.0,medium,5.34,14,46,11,0,1,0
tashkent,samarkand,292.9,truck,2025-11-17,9,monday,clouds,7.0,medium,6.78,17,47,11,0,1,0
tashkent,samarkand,292.9,truck,2025-11-27,12,thursday,mist,4.7,low,5.08,27,48,11,0,0,0
tashkent,samarkand,292.9,truck,2025-11-11,3,tuesday,mist,7.0,low,4.78,11,46,11,0,0,1
tashkent,samarkand,292.9,car,2025-12-27,6,saturday,clouds,7.0,low,3.99,27,52,12,1,0,0
tashkent,samarkand,292.9,pickup,2025-11-12,21,wednesday,mist,7.0,low,3.94,12,46,11,0,0,0
tashkent,samarkand,292.9,pickup,2025-12-10,5,wednesday,mist,7.0,low,3.95,10,50,12,0,0,1
tashkent,samarkand,292.9,pickup,2025-11-10,11,monday,mist,4.7,low,4.06,10,46,11,0,0,0
tashkent,samarkand,292.9,pickup,2025-11-26,21,wednesday,clouds,4.7,low,4.21,26,48,11,0,0,0
tashkent,samarkand,292.9,van,2025-12-14,9,sunday,clouds,7.0,medium,6.27,14,50,12,1,1,0
tashkent,samarkand,292.9,car,2025-11-24,20,monday,mist,7.0,low,3.81,24,48,11,0,0,0
tashkent,samarkand,292.9,van,2025-11-21,15,friday,clouds,7.0,low,4.59,21,47,11,0,0,0
tashkent,samarkand,292.9,car,2025-11-10,18,monday,clouds,7.0,medium,5.29,10,46,11,0,1,0
tashkent,samarkand,292.9,van,2025-11-27,17,thursday,clouds,4.7,medium,6.01,27,48,11,0,1,0
tashkent,samarkand,292.9,motorcycle,2025-11-14,6,friday,mist,4.7,low,4.32,14,46,11,0,0,0
tashkent,samarkand,292.9,truck,2025-12-17,11,wednesday,mist,4.7,low,5.0,17,51,12,0,0,0
tashkent,samarkand,292.9,pickup,2025-12-11,13,thursday,clouds,7.0,low,4.43,11,50,12,0,0,0
tashkent,samarkand,292.9,van,2025-11-13,11,thursday,mist,7.0,low,4.23,13,46,11,0,0,0
tashkent,samarkand,292.9,motorcycle,2025-12-20,2,saturday,clouds,7.0,low,4.71,20,51,12,1,0,1
tashkent,samarkand,292.9,pickup,2025-12-12,19,friday,mist,4.7,medium,5.02,12,50,12,0,1,0
tashkent,samarkand,292.9,car,2025-12-05,3,friday,clouds,4.7,low,4.02,5,49,12,0,0,1
tashkent,samarkand,292.9,car,2025-12-25,21,thursday,mist,4.7,low,3.73,25,52,12,0,0,0
tashkent,samarkand,292.9,truck,2025-11-29,13,saturday,mist,4.7,low,5.04,29,48,11,1,0,0
tashkent,samarkand,292.9,truck,2025-12-18,9,thursday,clouds,7.0,medium,7.19,18,51,12,0,1,0
tashkent,samarkand,292.9,van,2025-12-12,10,friday,clouds,4.7,low,4.46,12,50,12,0,1,0
tashkent,samarkand,292.9,pickup,2025-12-14,6,sunday,clouds,4.7,low,4.31,14,50,12,1,0,0
tashkent,samarkand,292.9,van,2025-12-05,23,friday,clouds,4.7,low,4.38,5,49,12,0,0,1
tashkent,samarkand,292.9,motorcycle,2025-11-20,7,thursday,mist,4.7,medium,5.77,20,47,11,0,0,0
tashkent,samarkand,292.9,van,2025-11-23,15,sunday,mist,7.0,low,4.05,23,47,11,1,0,0
tashkent,samarkand,292.9,van,2025-12-03,23,wednesday,clouds,7.0,low,4.54,3,49,12,0,0,1
tashkent,samarkand,292.9,car,2025-12-31,3,wednesday,clouds,4.7,low,4.19,31,1,12,0,0,1
tashkent,samarkand,292.9,truck,2025-12-11,7,thursday,clouds,7.0,medium,7.16,11,50,12,0,0,0
tashkent,samarkand,292.9,pickup,2025-12-23,22,tuesday,mist,7.0,low,3.92,23,52,12,0,0,1
tashkent,samarkand,292.9,truck,2025-11-25,5,tuesday,clouds,4.7,low,5.51,25,48,11,0,0,1
tashkent,samarkand,292.9,van,2025-11-12,18,wednesday,clouds,4.7,medium,6.21,12,46,11,0,1,0
tashkent,samarkand,292.9,car,2025-11-29,23,saturday,clouds,4.7,low,4.19,29,48,11,1,0,1
tashkent,samarkand,292.9,van,2025-12-15,3,monday,mist,7.0,low,4.3,15,51,12,0,0,1
tashkent,samarkand,292.9,motorcycle,2025-12-02,4,tuesday,mist,4.7,low,4.38,2,49,12,0,0,1
tashkent,samarkand,292.9,truck,2025-12-22,2,monday,mist,7.0,low,4.7,22,52,12,0,0,1
tashkent,samarkand,292.9,truck,2025-12-20,2,saturday,mist,7.0,low,5.05,20,51,12,1,0,1
tashkent,samarkand,292.9,pickup,2025-12-18,21,thursday,clouds,4.7,low,4.25,18,51,12,0,0,0
tashkent,samarkand,292.9,truck,2025-12-12,11,friday,clouds,4.7,low,5.59,12,50,12,0,0,0
tashkent,samarkand,292.9,car,2025-12-10,7,wednesday,mist,4.7,medium,4.89,10,50,12,0,0,0
tashkent,samarkand,292.9,van,2025-12-25,13,thursday,mist,7.0,low,4.2,25,52,12,0,0,0
tashkent,samarkand,292.9,car,2025-12-24,0,wednesday,mist,7.0,low,3.62,24,52,12,0,0,1
tashkent,samarkand,292.9,van,2025-12-08,22,monday,mist,7.0,low,4.05,8,50,12,0,0,1
tashkent,samarkand,292.9,car,2025-12-24,19,wednesday,mist,7.0,medium,4.56,24,52,12,0,1,0
tashkent,samarkand,292.9,van,2025-12-08,7,monday,mist,7.0,medium,5.5,8,50,12,0,0,0
tashkent,samarkand,292.9,van,2025-11-07,11,friday,clouds,4.7,low,4.62,7,45,11,0,0,0
tashkent,samarkand,292.9,truck,2026-01-03,21,saturday,mist,7.0,low,5.02,3,1,1,1,0,0
tashkent,samarkand,292.9,truck,2025-12-23,19,tuesday,mist,7.0,medium,6.23,23,52,12,0,1,0
tashkent,samarkand,292.9,car,2025-11-18,1,tuesday,mist,7.0,low,3.56,18,47,11,0,0,1
tashkent,samarkand,292.9,car,2025-11-14,3,friday,clouds,4.7,low,4.16,14,46,11,0,0,1
tashkent,samarkand,292.9,truck,2025-12-11,17,thursday,mist,7.0,medium,6.39,11,50,12,0,1,0
tashkent,samarkand,292.9,pickup,2025-12-12,4,friday,clouds,7.0,low,4.09,12,50,12,0,0,1
tashkent,samarkand,292.9,car,2026-01-03,9,saturday,mist,4.7,medium,4.57,3,1,1,1,1,0
tashkent,samarkand,292.9,van,2025-11-14,22,friday,mist,4.7,low,4.0,14,46,11,0,0,1
tashkent,samarkand,292.9,van,2025-11-21,16,friday,mist,4.7,low,4.22,21,47,11,0,0,0
tashkent,samarkand,292.9,car,2025-12-17,13,wednesday,clouds,4.7,low,3.97,17,51,12,0,0,0
tashkent,samarkand,292.9,van,2025-11-16,3,sunday,clouds,7.0,low,4.67,16,46,11,1,0,1
tashkent,samarkand,292.9,truck,2025-11-27,14,thursday,mist,4.7,low,5.12,27,48,11,0,0,0
tashkent,samarkand,292.9,car,2025-12-05,23,friday,mist,7.0,low,3.67,5,49,12,0,0,1
tashkent,samarkand,292.9,car,2025-11-18,17,tuesday,clouds,4.7,medium,5.46,18,47,11,0,1,0
tashkent,samarkand,292.9,truck,2025-12-13,13,saturday,clouds,7.0,low,5.54,13,50,12,1,0,0
tashkent,samarkand,292.9,pickup,2025-12-03,16,wednesday,mist,7.0,low,4.06,3,49,12,0,0,0
tashkent,samarkand,292.9,van,2025-11-11,0,tuesday,clouds,4.7,low,4.82,11,46,11,0,0,1
tashkent,samarkand,292.9,van,2025-12-20,19,saturday,clouds,7.0,medium,5.75,20,51,12,1,1,0
tashkent,samarkand,292.9,motorcycle,2025-12-13,8,saturday,mist,4.7,medium,5.67,13,50,12,1,1,0
tashkent,samarkand,292.9,van,2025-11-10,16,monday,clouds,7.0,low,4.49,10,46,11,0,0,0
tashkent,samarkand,292.9,truck,2025-11-24,3,monday,mist,7.0,low,5.08,24,48,11,0,0,1
tashkent,samarkand,292.9,motorcycle,2025-11-20,0,thursday,mist,7.0,low,4.63,20,47,11,0,0,1
tashkent,samarkand,292.9,motorcycle,2025-11-23,16,sunday,mist,7.0,low,4.3,23,47,11,1,0,0
tashkent,samarkand,292.9,motorcycle,2025-11-15,8,saturday,mist,7.0,medium,5.83,15,46,11,1,1,0
tashkent,samarkand,292.9,truck,2025-12-22,23,monday,mist,4.7,low,4.8,22,52,12,0,0,1
tashkent,samarkand,292.9,motorcycle,2025-12-02,6,tuesday,clouds,7.0,low,4.8,2,49,12,0,0,0
tashkent,samarkand,292.9,motorcycle,2025-11-21,20,friday,clouds,4.7,low,4.72,21,47,11,0,0,0
tashkent,samarkand,292.9,truck,2025-11-25,9,tuesday,mist,7.0,medium,6.18,25,48,11,0,1,0
tashkent,samarkand,292.9,car,2025-12-31,20,wednesday,mist,7.0,low,3.67,31,1,12,0,0,0
tashkent,samarkand,292.9,pickup,2025-12-03,19,wednesday,mist,7.0,medium,4.84,3,49,12,0,1,0
tashkent,samarkand,292.9,van,2025-12-06,17,saturday,clouds,7.0,medium,6.05,6,49,12,1,1,0
tashkent,samarkand,292.9,van,2025-12-21,11,sunday,mist,4.7,low,4.32,21,51,12,1,0,0
tashkent,samarkand,292.9,motorcycle,2025-12-03,10,wednesday,mist,4.7,low,4.55,3,49,12,0,1,0
tashkent,samarkand,292.9,truck,2025-12-14,11,sunday,clouds,7.0,low,5.11,14,50,12,1,0,0
tashkent,samarkand,292.9,car,2025-11-22,9,saturday,clouds,4.7,medium,5.15,22,47,11,1,1,0
tashkent,samarkand,292.9,motorcycle,2025-12-16,17,tuesday,mist,4.7,medium,5.75,16,51,12,0,1,0
tashkent,samarkand,292.9,car,2026-01-03,11,saturday,clouds,7.0,low,3.92,3,1,1,1,0,0
tashkent,samarkand,292.9,pickup,2025-11-30,11,sunday,mist,4.7,low,4.0,30,48,11,1,0,0
tashkent,samarkand,292.9,truck,2025-11-19,19,wednesday,clouds,4.7,medium,7.18,19,47,11,0,1,0
tashkent,samarkand,292.9,van,2025-12-23,16,tuesday,mist,7.0,low,4.02,23,52,12,0,0,0
tashkent,samarkand,292.9,pickup,2025-11-19,6,wednesday,clouds,7.0,low,4.15,19,47,11,0,0,0
tashkent,samarkand,292.9,motorcycle,2025-12-25,20,thursday,mist,4.7,low,4.4,25,52,12,0,0,0
tashkent,samarkand,292.9,van,2025-11-16,19,sunday,mist,7.0,medium,5.56,16,46,11,1,1,0
tashkent,samarkand,292.9,car,2025-11-24,21,monday,clouds,7.0,low,3.88,24,48,11,0,0,0
tashkent,samarkand,292.9,van,2025-12-18,6,thursday,clouds,7.0,low,4.67,18,51,12,0,0,0
tashkent,samarkand,292.9,van,2025-12-16,2,tuesday,mist,4.7,low,4.35,16,51,12,0,0,1
tashkent,samarkand,292.9,van,2025-11-22,11,saturday,clouds,4.7,low,4.59,22,47,11,1,0,0
tashkent,samarkand,292.9,pickup,2025-11-28,19,friday,clouds,7.0,medium,5.79,28,48,11,0,1,0
tashkent,samarkand,292.9,van,2025-11-07,16,friday,mist,4.7,low,4.06,7,45,11,0,0,0
tashkent,samarkand,292.9,motorcycle,2025-11-27,9,thursday,mist,7.0,medium,5.83,27,48,11,0,1,0
tashkent,samarkand,292.9,van,2025-12-26,21,friday,clouds,4.7,low,4.63,26,52,12,0,0,0
tashkent,samarkand,292.9,motorcycle,2025-12-13,4,saturday,mist,7.0,low,4.42,13,50,12,1,0,1
tashkent,samarkand,292.9,motorcycle,2025-11-27,16,thursday,mist,4.7,low,4.56,27,48,11,0,0,0
tashkent,samarkand,292.9,van,2025-12-08,5,monday,mist,7.0,low,4.25,8,50,12,0,0,1
tashkent,samarkand,292.9,motorcycle,2025-11-06,4,thursday,mist,4.7,low,4.53,6,45,11,0,0,1
tashkent,samarkand,292.9,van,2025-12-28,0,sunday,clouds,4.7,low,4.48,28,52,12,1,0,1
tashkent,samarkand,292.9,car,2025-11-30,9,sunday,mist,4.7,medium,4.67,30,48,11,1,1,0
tashkent,samarkand,292.9,truck,2025-12-30,12,tuesday,clouds,7.0,low,5.12,30,1,12,0,0,0
tashkent,samarkand,292.9,car,2025-12-25,12,thursday,mist,7.0,low,3.66,25,52,12,0,0,0
tashkent,samarkand,292.9,pickup,2025-12-10,15,wednesday,clouds,7.0,low,4.36,10,50,12,0,0,0
tashkent,samarkand,292.9,truck,2025-12-29,22,monday,clouds,7.0,low,5.2,29,1,12,0,0,1
tashkent,samarkand,292.9,van,2025-11-19,7,wednesday,clouds,4.7,medium,5.76,19,47,11,0,0,0
tashkent,samarkand,292.9,pickup,2025-12-25,3,thursday,clouds,7.0,low,4.34,25,52,12,0,0,1
tashkent,samarkand,292.9,pickup,2025-12-05,10,friday,clouds,4.7,low,4.09,5,49,12,0,1,0
tashkent,samarkand,292.9,motorcycle,2025-12-14,19,sunday,clouds,7.0,medium,6.36,14,50,12,1,1,0
tashkent,samarkand,292.9,van,2025-11-08,21,saturday,mist,7.0,low,4.35,8,45,11,1,0,0
tashkent,samarkand,292.9,car,2025-12-13,10,saturday,mist,4.7,low,3.51,13,50,12,1,1,0
tashkent,samarkand,292.9,pickup,2025-12-08,9,monday,mist,4.7,medium,4.96,8,50,12,0,1,0
tashkent,samarkand,292.9,motorcycle,2025-11-22,20,saturday,clouds,4.7,low,4.71,22,47,11,1,0,0
tashkent,samarkand,292.9,motorcycle,2025-12-13,17,saturday,mist,4.7,medium,5.87,13,50,12,1,1,0
tashkent,samarkand,292.9,motorcycle,2025-12-27,21,saturday,mist,7.0,low,4.35,27,52,12,1,0,0
tashkent,samarkand,292.9,truck,2025-12-03,19,wednesday,clouds,7.0,medium,6.69,3,49,12,0,1,0
tashkent,samarkand,292.9,pickup,2025-11-27,17,thursday,mist,4.7,medium,5.29,27,48,11,0,1,0
tashkent,samarkand,292.9,motorcycle,2025-12-06,18,saturday,clouds,4.7,medium,6.18,6,49,12,1,1,0
tashkent,samarkand,292.9,truck,2025-12-26,7,friday,clouds,7.0,medium,6.64,26,52,12,0,0,0
tashkent,samarkand,292.9,pickup,2025-12-16,3,tuesday,mist,4.7,low,3.8,16,51,12,0,0,1
tashkent,samarkand,292.9,motorcycle,2025-12-15,21,monday,clouds,4.7,low,4.79,15,51,12,0,0,0
tashkent,samarkand,292.9,motorcycle,2025-11-18,17,tuesday,mist,7.0,medium,5.82,18,47,11,0,1,0
tashkent,samarkand,292.9,van,2025-12-26,0,friday,clouds,7.0,low,4.74,26,52,12,0,0,1
tashkent,samarkand,292.9,van,2025-12-11,19,thursday,mist,4.7,medium,5.5,11,50,12,0,1,0
tashkent,samarkand,292.9,truck,2025-11-24,21,monday,clouds,7.0,low,5.32,24,48,11,0,0,0
tashkent,samarkand,292.9,motorcycle,2025-11-14,21,friday,mist,4.7,low,4.34,14,46,11,0,0,0
tashkent,samarkand,292.9,motorcycle,2025-11-29,15,saturday,mist,4.7,low,4.28,29,48,11,1,0,0
tashkent,samarkand,292.9,pickup,2025-12-03,23,wednesday,mist,4.7,low,3.93,3,49,12,0,0,1
tashkent,samarkand,292.9,pickup,2025-12-24,18,wednesday,clouds,7.0,medium,5.54,24,52,12,0,1,0
tashkent,samarkand,292.9,truck,2025-11-25,21,tuesday,clouds,4.7,low,5.55,25,48,11,0,0,0
tashkent,samarkand,292.9,van,2025-12-26,22,friday,mist,7.0,low,4.16,26,52,12,0,0,1
tashkent,samarkand,292.9,motorcycle,2025-11-13,17,thursday,mist,7.0,medium,5.99,13,46,11,0,1,0
tashkent,samarkand,292.9,car,2025-11-10,18,monday,clouds,7.0,medium,5.32,10,46,11,0,1,0
tashkent,samarkand,292.9,van,2025-11-10,11,monday,mist,7.0,low,4.06,10,46,11,0,0,0
tashkent,samarkand,292.9,van,2025-11-06,1,thursday,mist,4.7,low,4.0,6,45,11,0,0,1
tashkent,samarkand,292.9,motorcycle,2025-12-28,18,sunday,mist,4.7,medium,5.63,28,52,12,1,1,0
tashkent,samarkand,292.9,van,2025-11-06,16,thursday,clouds,7.0,low,4.6,6,45,11,0,0,0
tashkent,samarkand,292.9,pickup,2025-12-05,16,friday,clouds,4.7,low,4.11,5,49,12,0,0,0
tashkent,samarkand,292.9,car,2025-11-12,1,wednesday,mist,7.0,low,3.54,12,46,11,0,0,1
tashkent,samarkand,292.9,truck,2025-12-02,3,tuesday,mist,4.7,low,4.94,2,49,12,0,0,1
tashkent,samarkand,292.9,car,2025-12-29,9,monday,mist,4.7,medium,4.54,29,1,12,0,1,0
tashkent,samarkand,292.9,pickup,2025-12-26,7,friday,mist,4.7,medium,5.1,26,52,12,0,0,0
tashkent,samarkand,292.9,car,2025-11-27,14,thursday,mist,4.7,low,3.77,27,48,11,0,0,0
tashkent,samarkand,292.9,truck,2025-12-08,9,monday,clouds,4.7,medium,7.02,8,50,12,0,1,0
tashkent,samarkand,292.9,motorcycle,2025-12-30,19,tuesday,mist,7.0,medium,5.91,30,1,12,0,1,0
tashkent,samarkand,292.9,truck,2025-11-07,8,friday,clouds,4.7,medium,7.0,7,45,11,0,1,0
tashkent,samarkand,292.9,pickup,2025-11-19,21,wednesday,mist,7.0,low,4.09,19,47,11,0,0,0
tashkent,samarkand,292.9,car,2025-11-06,4,thursday,clouds,4.7,low,3.94,6,45,11,0,0,1
tashkent,samarkand,292.9,motorcycle,2026-01-05,0,monday,mist,4.7,low,4.47,5,2,1,0,0,1
tashkent,samarkand,292.9,pickup,2025-11-17,5,monday,clouds,4.7,low,4.16,17,47,11,0,0,1
