order_id,origin_city,destination_city,distance_km,vehicle_type,order_date,order_hour,weekday,weather,temperature,traffic_level,delivery_time_hours
ORD-20260105133858-9249,Tashkent,Samarkand,292.9,Van,2025-12-21,19,Sunday,Mist,4.7,Medium,5.43
ORD-20260105133858-6964,Tashkent,Samarkand,292.9,Truck,2025-12-18,20,Thursday,Mist,4.7,Low,4.71
ORD-20260105133858-5440,Tashkent,Samarkand,292.9,Car,2025-11-27,22,Thursday,Mist,4.7,Low,3.82
ORD-20260105133858-1847,Tashkent,Samarkand,292.9,Van,2025-11-22,18,Saturday,Clouds,7.0,Medium,5.95
ORD-20260105133858-9880,Tashkent,Samarkand,292.9,Van,2025-12-01,7,Monday,Mist,7.0,Medium,5.43
ORD-20260105133858-8084,Tashkent,Samarkand,292.9,Car,2025-11-11,20,Tuesday,Mist,4.7,Low,3.64
ORD-20260105133858-3330,Tashkent,Samarkand,292.9,Van,2026-01-01,22,Thursday,Mist,4.7,Low,4.37
ORD-20260105133858-4008,Tashkent,Samarkand,292.9,Van,2025-11-08,13,Saturday,Mist,7.0,Low,4.38
ORD-20260105133858-8882,Tashkent,Samarkand,292.9,Truck,2025-11-09,16,Sunday,Mist,4.7,Low,5.02
ORD-20260105133858-4656,Tashkent,Samarkand,292.9,Motorcycle,2025-12-25,22,Thursday,Mist,7.0,Low,4.28
ORD-20260105133858-4520,Tashkent,Samarkand,292.9,Truck,2025-11-24,10,Monday,Mist,4.7,Low,5.07
ORD-20260105133858-5682,Tashkent,Samarkand,292.9,Pickup,2025-12-17,15,Wednesday,Clouds,4.7,Low,4.18
ORD-20260105133858-8623,Tashkent,Samarkand,292.9,Van,2025-11-13,0,Thursday,Mist,4.7,Low,4.04
ORD-20260105133858-3961,Tashkent,Samarkand,292.9,Pickup,2026-01-01,3,Thursday,Mist,4.7,Low,3.92
ORD-20260105133858-9771,Tashkent,Samarkand,292.9,Car,2025-12-22,16,Monday,Mist,7.0,Low,3.7
ORD-20260105133858-8736,Tashkent,Samarkand,292.9,Car,2026-01-04,19,Sunday,Mist,4.7,Medium,4.62
ORD-20260105133858-6802,Tashkent,Samarkand,292.9,Motorcycle,2025-12-21,18,Sunday,Mist,4.7,Medium,6.11
ORD-20260105133858-9695,Tashkent,Samarkand,292.9,Pickup,2026-01-01,0,Thursday,Clouds,7.0,Low,4.27
ORD-20260105133858-5249,Tashkent,Samarkand,292.9,Pickup,2025-11-30,5,Sunday,Mist,7.0,Low,3.9
ORD-20260105133858-4386,Tashkent,Samarkand,292.9,Car,2025-11-30,19,Sunday,Clouds,4.7,Medium,5.06
ORD-20260105133858-9002,Tashkent,Samarkand,292.9,Pickup,2025-12-06,14,Saturday,Clouds,7.0,Low,4.22
ORD-20260105133858-6761,Tashkent,Samarkand,292.9,Truck,2026-01-01,11,Thursday,Clouds,4.7,Low,5.17
ORD-20260105133858-8076,Tashkent,Samarkand,292.9,Van,2025-11-27,15,Thursday,Mist,7.0,Low,4.35
ORD-20260105133858-9577,Tashkent,Samarkand,292.9,Van,2026-01-02,22,Friday,Mist,7.0,Low,4.04
ORD-20260105133858-3235,Tashkent,Samarkand,292.9,Truck,2025-11-07,17,Friday,Mist,4.7,Medium,6.55
ORD-20260105133858-3836,Tashkent,Samarkand,292.9,Truck,2025-12-16,16,Tuesday,Clouds,7.0,Low,5.63
ORD-20260105133858-6097,Tashkent,Samarkand,292.9,Truck,2025-12-06,0,Saturday,Mist,4.7,Low,5.1
ORD-20260105133858-2326,Tashkent,Samarkand,292.9,Motorcycle,2025-11-09,4,Sunday,Clouds,4.7,Low,4.78
ORD-20260105133858-5265,Tashkent,Samarkand,292.9,Car,2025-11-13,10,Thursday,Clouds,4.7,Low,3.85
ORD-20260105133858-4936,Tashkent,Samarkand,292.9,Motorcycle,2025-11-18,23,Tuesday,Clouds,4.7,Low,4.94
ORD-20260105133858-5170,Tashkent,Samarkand,292.9,Truck,2025-12-26,0,Friday,Mist,4.7,Low,5.06
ORD-20260105133858-5131,Tashkent,Samarkand,292.9,Motorcycle,2026-01-03,23,Saturday,Mist,7.0,Low,4.58
ORD-20260105133858-8803,Tashkent,Samarkand,292.9,Motorcycle,2025-11-14,0,Friday,Mist,7.0,Low,4.39
ORD-20260105133858-8595,Tashkent,Samarkand,292.9,Pickup,2025-11-28,8,Friday,Clouds,7.0,Medium,5.86
ORD-20260105133858-8558,Tashkent,Samarkand,292.9,Van,2025-11-23,4,Sunday,Mist,7.0,Low,4.16
ORD-20260105133858-2689,Tashkent,Samarkand,292.9,Motorcycle,2025-12-08,14,Monday,Clouds,7.0,Low,5.12
ORD-20260105133858-2117,Tashkent,Samarkand,292.9,Motorcycle,2025-11-11,7,Tuesday,Clouds,4.7,Medium,6.19
ORD-20260105133858-7254,Tashkent,Samarkand,292.9,Motorcycle,2025-11-26,17,Wednesday,Mist,4.7,Medium,5.79
ORD-20260105133858-2398,Tashkent,Samarkand,292.9,Truck,2026-01-02,7,Friday,Mist,7.0,Medium,6.12
ORD-20260105133858-7675,Tashkent,Samarkand,292.9,Van,2025-11-18,2,Tuesday,Clouds,7.0,Low,4.63
ORD-20260105133858-1829,Tashkent,Samarkand,292.9,Van,2025-12-04,16,Thursday,Mist,4.7,Low,4.17
ORD-20260105133858-6738,Tashkent,Samarkand,292.9,Van,2025-12-23,18,Tuesday,Mist,7.0,Medium,5.41
ORD-20260105133858-8430,Tashkent,Samarkand,292.9,Car,2025-12-25,10,Thursday,Clouds,7.0,Low,4.22
ORD-20260105133858-4636,Tashkent,Samarkand,292.9,Car,2025-12-05,17,Friday,Mist,7.0,Medium,4.7
ORD-20260105133858-4059,Tashkent,Samarkand,292.9,Motorcycle,2025-12-13,23,Saturday,Clouds,4.7,Low,4.97
ORD-20260105133858-9041,Tashkent,Samarkand,292.9,Van,2025-11-10,3,Monday,Clouds,4.7,Low,4.82
ORD-20260105133858-3852,Tashkent,Samarkand,292.9,Pickup,2025-12-12,17,Friday,Mist,4.7,Medium,4.87
ORD-20260105133858-8654,Tashkent,Samarkand,292.9,Truck,2025-12-14,22,Sunday,Clouds,4.7,Low,5.24
ORD-20260105133858-3761,Tashkent,Samarkand,292.9,Motorcycle,2025-11-17,1,Monday,Clouds,4.7,Low,5.04
ORD-20260105133858-3089,Tashkent,Samarkand,292.9,Motorcycle,2025-12-21,15,Sunday,Clouds,7.0,Low,4.79
ORD-20260105133858-4632,Tashkent,Samarkand,292.9,Van,2025-12-01,2,Monday,Clouds,4.7,Low,4.78
ORD-20260105133858-6370,Tashkent,Samarkand,292.9,Truck,2025-11-18,9,Tuesday,Mist,7.0,Medium,6.31
ORD-20260105133858-9026,Tashkent,Samarkand,292.9,Truck,2025-12-20,13,Saturday,Clouds,4.7,Low,5.17
ORD-20260105133858-4782,Tashkent,Samarkand,292.9,Van,2025-12-17,17,Wednesday,Clouds,7.0,Medium,6.08
ORD-20260105133858-9116,Tashkent,Samarkand,292.9,Motorcycle,2025-12-20,9,Saturday,Clouds,4.7,Medium,6.74
ORD-20260105133858-9275,Tashkent,Samarkand,292.9,Truck,2025-12-20,23,Saturday,Clouds,4.7,Low,5.25
ORD-20260105133858-7576,Tashkent,Samarkand,292.9,Van,2025-12-25,5,Thursday,Mist,4.7,Low,4.27
ORD-20260105133858-9909,Tashkent,Samarkand,292.9,Car,2025-12-25,1,Thursday,Mist,7.0,Low,3.54
ORD-20260105133858-9141,Tashkent,Samarkand,292.9,Truck,2025-11-15,1,Saturday,Clouds,4.7,Low,5.56
ORD-20260105133858-2152,Tashkent,Samarkand,292.9,Car,2025-11-14,17,Friday,Clouds,7.0,Medium,5.34
ORD-20260105133858-3524,Tashkent,Samarkand,292.9,Truck,2025-11-17,9,Monday,Clouds,7.0,Medium,6.78
ORD-20260105133858-8964,Tashkent,Samarkand,292.9,Truck,2025-11-27,12,Thursday,Mist,4.7,Low,5.08
ORD-20260105133858-8932,Tashkent,Samarkand,292.9,Truck,2025-11-11,3,Tuesday,Mist,7.0,Low,4.78
ORD-20260105133858-6349,Tashkent,Samarkand,292.9,Car,2025-12-27,6,Saturday,Clouds,7.0,Low,3.99
ORD-20260105133858-4200,Tashkent,Samarkand,292.9,Pickup,2025-11-12,21,Wednesday,Mist,7.0,Low,3.94
ORD-20260105133858-8737,Tashkent,Samarkand,292.9,Pickup,2025-12-10,5,Wednesday,Mist,7.0,Low,3.95
ORD-20260105133858-7570,Tashkent,Samarkand,292.9,Pickup,2025-11-10,11,Monday,Mist,4.7,Low,4.06
ORD-20260105133858-2679,Tashkent,Samarkand,292.9,Pickup,2025-11-26,21,Wednesday,Clouds,4.7,Low,4.21
ORD-20260105133858-1367,Tashkent,Samarkand,292.9,Van,2025-12-14,9,Sunday,Clouds,7.0,Medium,6.27
ORD-20260105133858-7819,Tashkent,Samarkand,292.9,Car,2025-11-24,20,Monday,Mist,7.0,Low,3.81
ORD-20260105133858-1286,Tashkent,Samarkand,292.9,Van,2025-11-21,15,Friday,Clouds,7.0,Low,4.59
ORD-20260105133858-9738,Tashkent,Samarkand,292.9,Car,2025-11-10,18,Monday,Clouds,7.0,Medium,5.29
ORD-20260105133858-2050,Tashkent,Samarkand,292.9,Van,2025-11-27,17,Thursday,Clouds,4.7,Medium,6.01
ORD-20260105133858-8787,Tashkent,Samarkand,292.9,Motorcycle,2025-11-14,6,Friday,Mist,4.7,Low,4.32
ORD-20260105133858-6827,Tashkent,Samarkand,292.9,Truck,2025-12-17,11,Wednesday,Mist,4.7,Low,5.0
ORD-20260105133858-7591,Tashkent,Samarkand,292.9,Pickup,2025-12-11,13,Thursday,Clouds,7.0,Low,4.43
ORD-20260105133858-2367,Tashkent,Samarkand,292.9,Van,2025-11-13,11,Thursday,Mist,7.0,Low,4.23
ORD-20260105133858-9241,Tashkent,Samarkand,292.9,Motorcycle,2025-12-20,2,Saturday,Clouds,7.0,Low,4.71
ORD-20260105133858-3594,Tashkent,Samarkand,292.9,Pickup,2025-12-12,19,Friday,Mist,4.7,Medium,5.02
ORD-20260105133858-5506,Tashkent,Samarkand,292.9,Car,2025-12-05,3,Friday,Clouds,4.7,Low,4.02
ORD-20260105133858-8789,Tashkent,Samarkand,292.9,Car,2025-12-25,21,Thursday,Mist,4.7,Low,3.73
ORD-20260105133858-2696,Tashkent,Samarkand,292.9,Truck,2025-11-29,13,Saturday,Mist,4.7,Low,5.04
ORD-20260105133858-2193,Tashkent,Samarkand,292.9,Truck,2025-12-18,9,Thursday,Clouds,7.0,Medium,7.19
ORD-20260105133858-4112,Tashkent,Samarkand,292.9,Van,2025-12-12,10,Friday,Clouds,4.7,Low,4.46
ORD-20260105133858-6669,Tashkent,Samarkand,292.9,Pickup,2025-12-14,6,Sunday,Clouds,4.7,Low,4.31
ORD-20260105133858-8920,Tashkent,Samarkand,292.9,Van,2025-12-05,23,Friday,Clouds,4.7,Low,4.38
ORD-20260105133858-2096,Tashkent,Samarkand,292.9,Motorcycle,2025-11-20,7,Thursday,Mist,4.7,Medium,5.77
ORD-20260105133858-7094,Tashkent,Samarkand,292.9,Van,2025-11-23,15,Sunday,Mist,7.0,Low,4.05
ORD-20260105133858-6363,Tashkent,Samarkand,292.9,Van,2025-12-03,23,Wednesday,Clouds,7.0,Low,4.54
ORD-20260105133858-5442,Tashkent,Samarkand,292.9,Car,2025-12-31,3,Wednesday,Clouds,4.7,Low,4.19
ORD-20260105133858-8514,Tashkent,Samarkand,292.9,Truck,2025-12-11,7,Thursday,Clouds,7.0,Medium,7.16
ORD-20260105133858-9032,Tashkent,Samarkand,292.9,Pickup,2025-12-23,22,Tuesday,Mist,7.0,Low,3.92
ORD-20260105133858-6745,Tashkent,Samarkand,292.9,Truck,2025-11-25,5,Tuesday,Clouds,4.7,Low,5.51
ORD-20260105133858-8438,Tashkent,Samarkand,292.9,Van,2025-11-12,18,Wednesday,Clouds,4.7,Medium,6.21
ORD-20260105133858-4251,Tashkent,Samarkand,292.9,Car,2025-11-29,23,Saturday,Clouds,4.7,Low,4.19
ORD-20260105133858-9478,Tashkent,Samarkand,292.9,Van,2025-12-15,3,Monday,Mist,7.0,Low,4.3
ORD-20260105133858-5093,Tashkent,Samarkand,292.9,Motorcycle,2025-12-02,4,Tuesday,Mist,4.7,Low,4.38
ORD-20260105133858-6114,Tashkent,Samarkand,292.9,Truck,2025-12-22,2,Monday,Mist,7.0,Low,4.7
ORD-20260105133858-4741,Tashkent,Samarkand,292.9,Truck,2025-12-20,2,Saturday,Mist,7.0,Low,5.05
ORD-20260105133858-8820,Tashkent,Samarkand,292.9,Pickup,2025-12-18,21,Thursday,Clouds,4.7,Low,4.25
ORD-20260105133858-9206,Tashkent,Samarkand,292.9,Truck,2025-12-12,11,Friday,Clouds,4.7,Low,5.59
ORD-20260105133858-3330,Tashkent,Samarkand,292.9,Car,2025-12-10,7,Wednesday,Mist,4.7,Medium,4.89
ORD-20260105133858-8763,Tashkent,Samarkand,292.9,Van,2025-12-25,13,Thursday,Mist,7.0,Low,4.2
ORD-20260105133858-3707,Tashkent,Samarkand,292.9,Car,2025-12-24,0,Wednesday,Mist,7.0,Low,3.62
ORD-20260105133858-1871,Tashkent,Samarkand,292.9,Van,2025-12-08,22,Monday,Mist,7.0,Low,4.05
ORD-20260105133858-1326,Tashkent,Samarkand,292.9,Car,2025-12-24,19,Wednesday,Mist,7.0,Medium,4.56
ORD-20260105133858-2513,Tashkent,Samarkand,292.9,Van,2025-12-08,7,Monday,Mist,7.0,Medium,5.5
ORD-20260105133858-4525,Tashkent,Samarkand,292.9,Van,2025-11-07,11,Friday,Clouds,4.7,Low,4.62
ORD-20260105133858-5908,Tashkent,Samarkand,292.9,Truck,2026-01-03,21,Saturday,Mist,7.0,Low,5.02
ORD-20260105133858-8494,Tashkent,Samarkand,292.9,Truck,2025-12-23,19,Tuesday,Mist,7.0,Medium,6.23
ORD-20260105133858-1024,Tashkent,Samarkand,292.9,Car,2025-11-18,1,Tuesday,Mist,7.0,Low,3.56
ORD-20260105133858-1329,Tashkent,Samarkand,292.9,Car,2025-11-14,3,Friday,Clouds,4.7,Low,4.16
ORD-20260105133858-5435,Tashkent,Samarkand,292.9,Truck,2025-12-11,17,Thursday,Mist,7.0,Medium,6.39
ORD-20260105133858-8435,Tashkent,Samarkand,292.9,Pickup,2025-12-12,4,Friday,Clouds,7.0,Low,4.09
ORD-20260105133858-3696,Tashkent,Samarkand,292.9,Car,2026-01-03,9,Saturday,Mist,4.7,Medium,4.57
ORD-20260105133858-2920,Tashkent,Samarkand,292.9,Van,2025-11-14,22,Friday,Mist,4.7,Low,4.0
ORD-20260105133858-5496,Tashkent,Samarkand,292.9,Van,2025-11-21,16,Friday,Mist,4.7,Low,4.22
ORD-20260105133858-2319,Tashkent,Samarkand,292.9,Car,2025-12-17,13,Wednesday,Clouds,4.7,Low,3.97
ORD-20260105133858-9296,Tashkent,Samarkand,292.9,Van,2025-11-16,3,Sunday,Clouds,7.0,Low,4.67
ORD-20260105133858-6570,Tashkent,Samarkand,292.9,Truck,2025-11-27,14,Thursday,Mist,4.7,Low,5.12
ORD-20260105133858-1357,Tashkent,Samarkand,292.9,Car,2025-12-05,23,Friday,Mist,7.0,Low,3.67
ORD-20260105133858-3120,Tashkent,Samarkand,292.9,Car,2025-11-18,17,Tuesday,Clouds,4.7,Medium,5.46
ORD-20260105133858-7359,Tashkent,Samarkand,292.9,Truck,2025-12-13,13,Saturday,Clouds,7.0,Low,5.54
ORD-20260105133858-3023,Tashkent,Samarkand,292.9,Pickup,2025-12-03,16,Wednesday,Mist,7.0,Low,4.06
ORD-20260105133858-4256,Tashkent,Samarkand,292.9,Van,2025-11-11,0,Tuesday,Clouds,4.7,Low,4.82
ORD-20260105133858-1463,Tashkent,Samarkand,292.9,Van,2025-12-20,19,Saturday,Clouds,7.0,Medium,5.75
ORD-20260105133858-5670,Tashkent,Samarkand,292.9,Motorcycle,2025-12-13,8,Saturday,Mist,4.7,Medium,5.67
ORD-20260105133858-3211,Tashkent,Samarkand,292.9,Van,2025-11-10,16,Monday,Clouds,7.0,Low,4.49
ORD-20260105133858-2443,Tashkent,Samarkand,292.9,Truck,2025-11-24,3,Monday,Mist,7.0,Low,5.08
ORD-20260105133858-6675,Tashkent,Samarkand,292.9,Motorcycle,2025-11-20,0,Thursday,Mist,7.0,Low,4.63
ORD-20260105133858-2641,Tashkent,Samarkand,292.9,Motorcycle,2025-11-23,16,Sunday,Mist,7.0,Low,4.3
ORD-20260105133858-2496,Tashkent,Samarkand,292.9,Motorcycle,2025-11-15,8,Saturday,Mist,7.0,Medium,5.83
ORD-20260105133858-5951,Tashkent,Samarkand,292.9,Truck,2025-12-22,23,Monday,Mist,4.7,Low,4.8
ORD-20260105133858-3266,Tashkent,Samarkand,292.9,Motorcycle,2025-12-02,6,Tuesday,Clouds,7.0,Low,4.8
ORD-20260105133858-2740,Tashkent,Samarkand,292.9,Motorcycle,2025-11-21,20,Friday,Clouds,4.7,Low,4.72
ORD-20260105133858-3166,Tashkent,Samarkand,292.9,Truck,2025-11-25,9,Tuesday,Mist,7.0,Medium,6.18
ORD-20260105133858-2117,Tashkent,Samarkand,292.9,Car,2025-12-31,20,Wednesday,Mist,7.0,Low,3.67
ORD-20260105133858-5426,Tashkent,Samarkand,292.9,Pickup,2025-12-03,19,Wednesday,Mist,7.0,Medium,4.84
ORD-20260105133858-3718,Tashkent,Samarkand,292.9,Van,2025-12-06,17,Saturday,Clouds,7.0,Medium,6.05
ORD-20260105133858-7109,Tashkent,Samarkand,292.9,Van,2025-12-21,11,Sunday,Mist,4.7,Low,4.32
ORD-20260105133858-2743,Tashkent,Samarkand,292.9,Motorcycle,2025-12-03,10,Wednesday,Mist,4.7,Low,4.55
ORD-20260105133858-7160,Tashkent,Samarkand,292.9,Truck,2025-12-14,11,Sunday,Clouds,7.0,Low,5.11
ORD-20260105133858-6671,Tashkent,Samarkand,292.9,Car,2025-11-22,9,Saturday,Clouds,4.7,Medium,5.15
ORD-20260105133858-8005,Tashkent,Samarkand,292.9,Motorcycle,2025-12-16,17,Tuesday,Mist,4.7,Medium,5.75
ORD-20260105133858-9488,Tashkent,Samarkand,292.9,Car,2026-01-03,11,Saturday,Clouds,7.0,Low,3.92
ORD-20260105133858-8090,Tashkent,Samarkand,292.9,Pickup,2025-11-30,11,Sunday,Mist,4.7,Low,4.0
ORD-20260105133858-6384,Tashkent,Samarkand,292.9,Truck,2025-11-19,19,Wednesday,Clouds,4.7,Medium,7.18
ORD-20260105133858-3614,Tashkent,Samarkand,292.9,Van,2025-12-23,16,Tuesday,Mist,7.0,Low,4.02
ORD-20260105133858-8232,Tashkent,Samarkand,292.9,Pickup,2025-11-19,6,Wednesday,Clouds,7.0,Low,4.15
ORD-20260105133858-6662,Tashkent,Samarkand,292.9,Motorcycle,2025-12-25,20,Thursday,Mist,4.7,Low,4.4
ORD-20260105133858-9891,Tashkent,Samarkand,292.9,Van,2025-11-16,19,Sunday,Mist,7.0,Medium,5.56
ORD-20260105133858-6082,Tashkent,Samarkand,292.9,Car,2025-11-24,21,Monday,Clouds,7.0,Low,3.88
ORD-20260105133858-8063,Tashkent,Samarkand,292.9,Van,2025-12-18,6,Thursday,Clouds,7.0,Low,4.67
ORD-20260105133858-2746,Tashkent,Samarkand,292.9,Van,2025-12-16,2,Tuesday,Mist,4.7,Low,4.35
ORD-20260105133858-6996,Tashkent,Samarkand,292.9,Van,2025-11-22,11,Saturday,Clouds,4.7,Low,4.59
ORD-20260105133858-9868,Tashkent,Samarkand,292.9,Pickup,2025-11-28,19,Friday,Clouds,7.0,Medium,5.79
ORD-20260105133858-8686,Tashkent,Samarkand,292.9,Van,2025-11-07,16,Friday,Mist,4.7,Low,4.06
ORD-20260105133858-6470,Tashkent,Samarkand,292.9,Motorcycle,2025-11-27,9,Thursday,Mist,7.0,Medium,5.83
ORD-20260105133858-6387,Tashkent,Samarkand,292.9,Van,2025-12-26,21,Friday,Clouds,4.7,Low,4.63
ORD-20260105133858-2601,Tashkent,Samarkand,292.9,Motorcycle,2025-12-13,4,Saturday,Mist,7.0,Low,4.42
ORD-20260105133858-8364,Tashkent,Samarkand,292.9,Motorcycle,2025-11-27,16,Thursday,Mist,4.7,Low,4.56
ORD-20260105133858-1592,Tashkent,Samarkand,292.9,Van,2025-12-08,5,Monday,Mist,7.0,Low,4.25
ORD-20260105133858-2543,Tashkent,Samarkand,292.9,Motorcycle,2025-11-06,4,Thursday,Mist,4.7,Low,4.53
ORD-20260105133858-5964,Tashkent,Samarkand,292.9,Van,2025-12-28,0,Sunday,Clouds,4.7,Low,4.48
ORD-20260105133858-4947,Tashkent,Samarkand,292.9,Car,2025-11-30,9,Sunday,Mist,4.7,Medium,4.67
ORD-20260105133858-5235,Tashkent,Samarkand,292.9,Truck,2025-12-30,12,Tuesday,Clouds,7.0,Low,5.12
ORD-20260105133858-3893,Tashkent,Samarkand,292.9,Car,2025-12-25,12,Thursday,Mist,7.0,Low,3.66
ORD-20260105133858-2463,Tashkent,Samarkand,292.9,Pickup,2025-12-10,15,Wednesday,Clouds,7.0,Low,4.36
ORD-20260105133858-2326,Tashkent,Samarkand,292.9,Truck,2025-12-29,22,Monday,Clouds,7.0,Low,5.2
ORD-20260105133858-2785,Tashkent,Samarkand,292.9,Van,2025-11-19,7,Wednesday,Clouds,4.7,Medium,5.76
ORD-20260105133858-1334,Tashkent,Samarkand,292.9,Pickup,2025-12-25,3,Thursday,Clouds,7.0,Low,4.34
ORD-20260105133858-4031,Tashkent,Samarkand,292.9,Pickup,2025-12-05,10,Friday,Clouds,4.7,Low,4.09
ORD-20260105133858-3938,Tashkent,Samarkand,292.9,Motorcycle,2025-12-14,19,Sunday,Clouds,7.0,Medium,6.36
ORD-20260105133858-6509,Tashkent,Samarkand,292.9,Van,2025-11-08,21,Saturday,Mist,7.0,Low,4.35
ORD-20260105133858-3974,Tashkent,Samarkand,292.9,Car,2025-12-13,10,Saturday,Mist,4.7,Low,3.51
ORD-20260105133858-6570,Tashkent,Samarkand,292.9,Pickup,2025-12-08,9,Monday,Mist,4.7,Medium,4.96
ORD-20260105133858-8493,Tashkent,Samarkand,292.9,Motorcycle,2025-11-22,20,Saturday,Clouds,4.7,Low,4.71
ORD-20260105133858-1238,Tashkent,Samarkand,292.9,Motorcycle,2025-12-13,17,Saturday,Mist,4.7,Medium,5.87
ORD-20260105133858-4497,Tashkent,Samarkand,292.9,Motorcycle,2025-12-27,21,Saturday,Mist,7.0,Low,4.35
ORD-20260105133858-1158,Tashkent,Samarkand,292.9,Truck,2025-12-03,19,Wednesday,Clouds,7.0,Medium,6.69
ORD-20260105133858-6809,Tashkent,Samarkand,292.9,Pickup,2025-11-27,17,Thursday,Mist,4.7,Medium,5.29
ORD-20260105133858-5535,Tashkent,Samarkand,292.9,Motorcycle,2025-12-06,18,Saturday,Clouds,4.7,Medium,6.18
ORD-20260105133858-5213,Tashkent,Samarkand,292.9,Truck,2025-12-26,7,Friday,Clouds,7.0,Medium,6.64
ORD-20260105133858-1951,Tashkent,Samarkand,292.9,Pickup,2025-12-16,3,Tuesday,Mist,4.7,Low,3.8
ORD-20260105133858-1812,Tashkent,Samarkand,292.9,Motorcycle,2025-12-15,21,Monday,Clouds,4.7,Low,4.79
ORD-20260105133858-3171,Tashkent,Samarkand,292.9,Motorcycle,2025-11-18,17,Tuesday,Mist,7.0,Medium,5.82
ORD-20260105133858-9207,Tashkent,Samarkand,292.9,Van,2025-12-26,0,Friday,Clouds,7.0,Low,4.74
ORD-20260105133858-5612,Tashkent,Samarkand,292.9,Van,2025-12-11,19,Thursday,Mist,4.7,Medium,5.5
